NAME_2,ID_2,level,date
TP.HCM,0,1,14/1/2022
Quận 1,760,2,
Quận 3,770,1,
Quận 4,773,1,
Quận 5,774,1,
Quận 6,775,1,
Quận 7,778,1,
Quận 8,776,1,
Quận 10,771,1,
Quận 11,772,1,
Quận 12,761,1,
Huyện Bình Chánh,785,1,
Quận Bình Tân,777,1,
Quận Bình Thạnh,765,1,
Huyện Cần Giờ,787,2,
Huyện Củ Chi,783,1,
Quận Gò Vấp,764,1,
Huyện Hóc Môn,784,1,
Huyện Nhà Bè,786,2,
Quận Phú Nhuận,768,1,
Quận Tân Bình,766,1,
Quận Tân Phú,767,1,
Thành phố Thủ Đức,769,1,
